,Gender,Event,Location,Year,Medal,Name,Nationality,Result,Type,Clean_Result
1277,M,4X400M Relay,Melbourne / Stockholm,1956,B,,GBR,03:07.2,seconds,187.2
1268,M,4X400M Relay,Rome,1960,G,,USA,03:02.2,seconds,182.2
1269,M,4X400M Relay,Rome,1960,S,,EUA,03:02.7,seconds,182.7
1271,M,4X400M Relay,Rome,1960,B,,BWI,03:04.0,seconds,184.0
1260,M,4X400M Relay,Tokyo,1964,G,,USA,03:00.7,seconds,180.7
1265,M,4X400M Relay,Tokyo,1964,S,,GBR,03:01.6,seconds,181.6
1266,M,4X400M Relay,Tokyo,1964,B,,TTO,03:01.7,seconds,181.7
1238,M,4X400M Relay,Mexico,1968,G,,USA,02:56.1,seconds,176.1
1253,M,4X400M Relay,Mexico,1968,S,,KEN,02:59.6,seconds,179.6
1256,M,4X400M Relay,Mexico,1968,B,,FRG,03:00.5,seconds,180.5
1225,W,4X400M Relay,Munich,1972,G,,GDR,03:23.0,seconds,203.0
1231,W,4X400M Relay,Munich,1972,S,,USA,03:25.2,seconds,205.2
1232,W,4X400M Relay,Munich,1972,B,,FRG,03:26.5,seconds,206.5
1255,M,4X400M Relay,Munich,1972,G,,KEN,02:59.8,seconds,179.8
1257,M,4X400M Relay,Munich,1972,S,,GBR,03:00.5,seconds,180.5
1259,M,4X400M Relay,Munich,1972,B,,FRA,03:00.7,seconds,180.7
1209,W,4X400M Relay,Montreal,1976,G,,GDR,03:19.2,seconds,199.2
1223,W,4X400M Relay,Montreal,1976,S,,USA,03:22.8,seconds,202.8
1230,W,4X400M Relay,Montreal,1976,B,,URS,03:24.2,seconds,204.2
1244,M,4X400M Relay,Montreal,1976,G,,USA,02:58.6,seconds,178.6
1264,M,4X400M Relay,Montreal,1976,S,,POL,03:01.4,seconds,181.4
1267,M,4X400M Relay,Montreal,1976,B,,FRG,03:02.0,seconds,182.0
1212,W,4X400M Relay,Moscow,1980,G,,URS,03:20.2,seconds,200.2
1214,W,4X400M Relay,Moscow,1980,S,,GDR,03:20.4,seconds,200.4
1233,W,4X400M Relay,Moscow,1980,B,,GBR,03:27.5,seconds,207.5
1262,M,4X400M Relay,Moscow,1980,G,,URS,03:01.1,seconds,181.1
1263,M,4X400M Relay,Moscow,1980,S,,GDR,03:01.3,seconds,181.3
1273,M,4X400M Relay,Moscow,1980,B,,ITA,03:04.3,seconds,184.3
1206,W,4X400M Relay,Los Angeles,1984,G,,USA,03:18.3,seconds,198.3
1220,W,4X400M Relay,Los Angeles,1984,S,,CAN,03:21.2,seconds,201.2
1224,W,4X400M Relay,Los Angeles,1984,B,,FRG,03:23.0,seconds,203.0
1242,M,4X400M Relay,Los Angeles,1984,G,,USA,02:57.9,seconds,177.9
1247,M,4X400M Relay,Los Angeles,1984,S,,GBR,02:59.1,seconds,179.1
1249,M,4X400M Relay,Los Angeles,1984,B,,NGR,02:59.3,seconds,179.3
1211,W,4X400M Relay,Barcelona,1992,G,,EUN,03:20.2,seconds,200.2
1216,W,4X400M Relay,Barcelona,1992,S,,USA,03:20.9,seconds,200.9
1229,W,4X400M Relay,Barcelona,1992,B,,GBR,03:24.2,seconds,204.2
1235,M,4X400M Relay,Barcelona,1992,G,,USA,02:55.7,seconds,175.7
1252,M,4X400M Relay,Barcelona,1992,S,,CUB,02:59.5,seconds,179.5
1254,M,4X400M Relay,Barcelona,1992,B,,GBR,02:59.7,seconds,179.7
1215,W,4X400M Relay,Atlanta,1996,G,,USA,03:20.9,seconds,200.9
1218,W,4X400M Relay,Atlanta,1996,S,,NGR,03:21.0,seconds,201.0
1219,W,4X400M Relay,Atlanta,1996,B,,GER,03:21.1,seconds,201.1
1237,M,4X400M Relay,Atlanta,1996,G,,USA,02:56.0,seconds,176.0
1239,M,4X400M Relay,Atlanta,1996,S,,GBR,02:56.6,seconds,176.6
1251,M,4X400M Relay,Atlanta,1996,B,,JAM,02:59.4,seconds,179.4
1222,W,4X400M Relay,Sydney,2000,G,,USA,03:22.6,seconds,202.6
1226,W,4X400M Relay,Sydney,2000,S,,JAM,03:23.3,seconds,203.3
1227,W,4X400M Relay,Sydney,2000,B,,RUS,03:23.5,seconds,203.5
1245,M,4X400M Relay,Sydney,2000,G,,NGR,02:58.7,seconds,178.7
1246,M,4X400M Relay,Sydney,2000,S,,JAM,02:58.8,seconds,178.8
1248,M,4X400M Relay,Sydney,2000,B,,BAH,02:59.2,seconds,179.2
1208,W,4X400M Relay,Athens,2004,G,,USA,03:19.0,seconds,199.0
1210,W,4X400M Relay,Athens,2004,S,,RUS,03:20.2,seconds,200.2
1221,W,4X400M Relay,Athens,2004,B,,JAM,03:22.0,seconds,202.0
1236,M,4X400M Relay,Athens,2004,G,,USA,02:55.9,seconds,175.9
1258,M,4X400M Relay,Athens,2004,S,,AUS,03:00.6,seconds,180.6
1261,M,4X400M Relay,Athens,2004,B,,NGR,03:00.9,seconds,180.9
1207,W,4X400M Relay,Beijing,2008,G,,USA,03:18.5,seconds,198.5
1213,W,4X400M Relay,Beijing,2008,B,,JAM,03:20.4,seconds,200.4
1234,M,4X400M Relay,Beijing,2008,G,,USA,02:55.4,seconds,175.4
1243,M,4X400M Relay,Beijing,2008,S,,BAH,02:58.0,seconds,178.0
1205,W,4X400M Relay,London,2012,G,,USA,03:16.9,seconds,196.9
1217,W,4X400M Relay,London,2012,S,,JAM,03:21.0,seconds,201.0
1228,W,4X400M Relay,London,2012,B,,UKR,03:23.6,seconds,203.6
1240,M,4X400M Relay,London,2012,G,,BAH,02:56.7,seconds,176.7
1241,M,4X400M Relay,London,2012,S,,USA,02:57.1,seconds,177.1
1250,M,4X400M Relay,London,2012,B,,TTO,02:59.4,seconds,179.4
1194,M,5000M,Stockholm,1912,G,Hannes KOLEHMAINEN,FIN,14:36.6,seconds,876.6
1195,M,5000M,Stockholm,1912,S,Jean BOUIN,FRA,14:36.7,seconds,876.7
1203,M,5000M,Stockholm,1912,B,George HUTSON,GBR,15:07.6,seconds,907.6
1200,M,5000M,Antwerp,1920,G,Joseph GUILLEMOT,FRA,14:55.6,seconds,895.6
1201,M,5000M,Antwerp,1920,S,Paavo NURMI,FIN,15:00.0,seconds,900.0
1204,M,5000M,Antwerp,1920,B,Eric BACKMAN,SWE,15:13.0,seconds,913.0
1192,M,5000M,Paris,1924,G,Paavo NURMI,FIN,14:31.2,seconds,871.2
1193,M,5000M,Paris,1924,S,Ville RITOLA,FIN,14:31.4,seconds,871.4
1202,M,5000M,Paris,1924,B,Edvin WIDE,SWE,15:01.8,seconds,901.8
1196,M,5000M,Amsterdam,1928,G,Ville RITOLA,FIN,14:38.0,seconds,878.0
1197,M,5000M,Amsterdam,1928,S,Paavo NURMI,FIN,14:40.0,seconds,880.0
1198,M,5000M,Amsterdam,1928,B,Edvin WIDE,SWE,14:41.2,seconds,881.2
1190,M,5000M,Los Angeles,1932,G,Lauri LEHTINEN,FIN,14:30.0,seconds,870.0
1191,M,5000M,Los Angeles,1932,S,Ralph HILL,USA,14:30.0,seconds,870.0
1199,M,5000M,Los Angeles,1932,B,Lauri VIRTANEN,FIN,14:44.0,seconds,884.0
1186,M,5000M,Berlin,1936,G,Gunnar HÃCKERT,FIN,14:22.2,seconds,862.2
1187,M,5000M,Berlin,1936,S,Lauri LEHTINEN,FIN,14:25.8,seconds,865.8
1189,M,5000M,Berlin,1936,B,Henry JONSSON-KÃLARNE,SWE,14:29.0,seconds,869.0
1184,M,5000M,London,1948,G,Gaston REIFF,BEL,14:17.6,seconds,857.6
1185,M,5000M,London,1948,S,Emil ZÃTOPEK,TCH,14:17.8,seconds,857.8
1188,M,5000M,London,1948,B,Willem SLIJKHUIS,NED,14:26.8,seconds,866.8
1181,M,5000M,Helsinki,1952,G,Emil ZÃTOPEK,TCH,14:06.6,seconds,846.6
1182,M,5000M,Helsinki,1952,S,Alain MIMOUN,FRA,14:07.4,seconds,847.4
1183,M,5000M,Helsinki,1952,B,Herbert SCHADE,GER,14:08.6,seconds,848.6
1166,M,5000M,Melbourne / Stockholm,1956,G,Vladimir KUTS,URS,13:39.6,seconds,819.6
1176,M,5000M,Melbourne / Stockholm,1956,S,Gordon PIRIE,GBR,13:50.6,seconds,830.6
1177,M,5000M,Melbourne / Stockholm,1956,B,Derek IBBOTSON,GBR,13:54.4,seconds,834.4
1170,M,5000M,Rome,1960,G,Murray HALBERG,NZL,13:43.4,seconds,823.4
1171,M,5000M,Rome,1960,S,Hans GRODOTZKI,EUA,13:44.6,seconds,824.6
1172,M,5000M,Rome,1960,B,Kazimierz ZIMNY,POL,13:44.8,seconds,824.8
1173,M,5000M,Tokyo,1964,G,Robert Keyser SCHUL,USA,13:48.8,seconds,828.8
1174,M,5000M,Tokyo,1964,S,Harald NORPOTH,EUA,13:49.6,seconds,829.6
1175,M,5000M,Tokyo,1964,B,Bill DELLINGER,USA,13:49.8,seconds,829.8
1178,M,5000M,Mexico,1968,G,Mohamed GAMMOUDI,TUN,14:05.0,seconds,845.0
1179,M,5000M,Mexico,1968,S,Kip KEINO,KEN,14:05.2,seconds,845.2
1180,M,5000M,Mexico,1968,B,Naftali TEMU,KEN,14:06.4,seconds,846.4
1160,M,5000M,Munich,1972,G,Lasse VIREN,FIN,13:26.4,seconds,806.4
1161,M,5000M,Munich,1972,S,Mohamed GAMMOUDI,TUN,13:27.3,seconds,807.3
1162,M,5000M,Munich,1972,B,Ian STEWART,GBR,13:27.6,seconds,807.6
1157,M,5000M,Montreal,1976,G,Lasse VIREN,FIN,13:24.8,seconds,804.8
1158,M,5000M,Montreal,1976,S,Dick Theodorus QUAX,NZL,13:25.2,seconds,805.2
1159,M,5000M,Montreal,1976,B,Klaus-Peter HILDENBRAND,FRG,13:25.4,seconds,805.4
1154,M,5000M,Moscow,1980,G,Miruts YIFTER,ETH,13:21.0,seconds,801.0
1155,M,5000M,Moscow,1980,S,Suleiman NYAMBUI,TAN,13:21.6,seconds,801.6
1156,M,5000M,Moscow,1980,B,Kaarlo MAANINKA,FIN,13:22.0,seconds,802.0
1141,M,5000M,Los Angeles,1984,G,SaÃ¯d AOUITA,MAR,13:05.6,seconds,785.6
1143,M,5000M,Los Angeles,1984,S,Markus RYFFEL,SUI,13:07.5,seconds,787.5
1147,M,5000M,Los Angeles,1984,B,AntÃ³nio LEITÃO,POR,13:09.2,seconds,789.2
1148,M,5000M,Barcelona,1992,G,Dieter BAUMANN,GER,13:12.5,seconds,792.5
1149,M,5000M,Barcelona,1992,S,Paul BITOK,KEN,13:12.7,seconds,792.7
1150,M,5000M,Barcelona,1992,B,Fita BAYISSA,ETH,13:13.0,seconds,793.0
1127,W,5000M,Atlanta,1996,G,Junxia WANG,CHN,14:59.9,seconds,899.9
1128,W,5000M,Atlanta,1996,S,Pauline KONGA,KEN,15:03.5,seconds,903.5
1132,W,5000M,Atlanta,1996,B,Roberta BRUNET,ITA,15:07.5,seconds,907.5
1144,M,5000M,Atlanta,1996,G,Venuste NIYONGABO,BDI,13:08.0,seconds,788.0
1145,M,5000M,Atlanta,1996,S,Paul BITOK,KEN,13:08.2,seconds,788.2
1146,M,5000M,Atlanta,1996,B,Khalid BOULAMI,MAR,13:08.4,seconds,788.4
1121,W,5000M,Sydney,2000,G,Gabriela SZABO,ROU,14:40.8,seconds,880.8
1122,W,5000M,Sydney,2000,S,Sonia O'SULLIVAN,IRL,14:41.0,seconds,881.0
1123,W,5000M,Sydney,2000,B,Gete WAMI,ETH,14:42.2,seconds,882.2
1163,M,5000M,Sydney,2000,G,Millon WOLDE,ETH,13:35.5,seconds,815.5
1164,M,5000M,Sydney,2000,S,Ali SAIDI-SIEF,ALG,13:36.2,seconds,816.2
1165,M,5000M,Sydney,2000,B,Brahim LAHLAFI,MAR,13:36.5,seconds,816.5
1124,W,5000M,Athens,2004,G,Meseret DEFAR,ETH,14:45.7,seconds,885.7
1125,W,5000M,Athens,2004,S,Isabella OCHICHI,KEN,14:48.2,seconds,888.2
1126,W,5000M,Athens,2004,B,Tirunesh DIBABA,ETH,14:51.8,seconds,891.8
1151,M,5000M,Athens,2004,G,Hicham EL GUERROUJ,MAR,13:14.4,seconds,794.4
1152,M,5000M,Athens,2004,S,Kenenisa BEKELE,ETH,13:14.6,seconds,794.6
1153,M,5000M,Athens,2004,B,Eliud Kipchoge ROTICH,KEN,13:15.1,seconds,795.1
1133,W,5000M,Beijing,2008,G,Tirunesh DIBABA,ETH,15:41.4,seconds,941.4
1134,W,5000M,Beijing,2008,S,Elvan ABEYLEGESSE,TUR,15:42.7,seconds,942.7
1135,W,5000M,Beijing,2008,B,Meseret DEFAR,ETH,15:44.1,seconds,944.1
1136,M,5000M,Beijing,2008,G,Kenenisa BEKELE,ETH,12:57.8,seconds,777.8
1137,M,5000M,Beijing,2008,S,Eliud Kipchoge ROTICH,KEN,13:02.8,seconds,782.8
1142,M,5000M,Beijing,2008,B,Edwin Cheruiyot SOI,KEN,13:06.2,seconds,786.2
1129,W,5000M,London,2012,G,Meseret DEFAR,ETH,15:04.3,seconds,904.3
1130,W,5000M,London,2012,S,Vivian Jepkemoi CHERUIYOT,KEN,15:04.7,seconds,904.7
1131,W,5000M,London,2012,B,Tirunesh DIBABA,ETH,15:05.2,seconds,905.2
1167,M,5000M,London,2012,G,Mohamed FARAH,GBR,13:41.7,seconds,821.7
1168,M,5000M,London,2012,S,Dejen GEBREMESKEL,ETH,13:42.0,seconds,822.0
1169,M,5000M,London,2012,B,Thomas Pkemei LONGOSIWA,KEN,13:42.4,seconds,822.4
1118,W,5000M,Rio,2016,G,Vivian Jepkemoi CHERUIYOT,KEN,14:26.2,seconds,866.2
1119,W,5000M,Rio,2016,S,Hellen Onsando OBIRI,KEN,14:29.8,seconds,869.8
1120,W,5000M,Rio,2016,B,Almaz AYANA,ETH,14:33.6,seconds,873.6
1138,M,5000M,Rio,2016,G,Mohamed FARAH,GBR,13:03.3,seconds,783.3
1139,M,5000M,Rio,2016,S,Paul Kipkemoi CHELIMO,USA,13:03.9,seconds,783.9
1140,M,5000M,Rio,2016,B,Hagos GEBRHIWET,ETH,13:04.3,seconds,784.3
1115,M,50Km Race Walk,Los Angeles,1932,G,Thomas William GREEN,GBR,4:50:10,seconds,17410.0
1116,M,50Km Race Walk,Los Angeles,1932,S,Janis DALINS,LAT,4:57:20,seconds,17840.0
1117,M,50Km Race Walk,Los Angeles,1932,B,Ugo FRIGERIO,ITA,4:59:06,seconds,17946.0
1104,M,50Km Race Walk,Berlin,1936,G,Harold WHITLOCK,GBR,4:30:41.4,seconds,16241.4
1108,M,50Km Race Walk,Berlin,1936,S,Arthur SCHWAB,SUI,4:32:09.2,seconds,16329.2
1109,M,50Km Race Walk,Berlin,1936,B,Adalberts BUBENKO,LAT,4:32:42.2,seconds,16362.2
1112,M,50Km Race Walk,London,1948,G,John LJUNGGREN,SWE,4:41:52,seconds,16912.0
1113,M,50Km Race Walk,London,1948,S,Gaston GODEL,SUI,4:48:17,seconds,17297.0
1114,M,50Km Race Walk,London,1948,B,Terence Lloyd JOHNSON,GBR,4:48:31,seconds,17311.0
1101,M,50Km Race Walk,Helsinki,1952,G,Giuseppe DORDONI,ITA,4:28:07.8,seconds,16087.8
1103,M,50Km Race Walk,Helsinki,1952,S,Josef DOLEZAL,TCH,4:30:17.8,seconds,16217.8
1106,M,50Km Race Walk,Helsinki,1952,B,Antal RÃKA,HUN,4:31:27.2,seconds,16287.2
1105,M,50Km Race Walk,Melbourne / Stockholm,1956,G,Norman READ,NZL,4:30:42.8,seconds,16242.8
1110,M,50Km Race Walk,Melbourne / Stockholm,1956,S,Yevgeni MASKINSKOV,URS,4:32:57.0,seconds,16377.0
1111,M,50Km Race Walk,Melbourne / Stockholm,1956,B,John LJUNGGREN,SWE,4:35:02.0,seconds,16502.0
1098,M,50Km Race Walk,Rome,1960,G,Donald James THOMPSON,GBR,4:25:30.0,seconds,15930.0
1099,M,50Km Race Walk,Rome,1960,S,John LJUNGGREN,SWE,4:25:47.0,seconds,15947.0
1100,M,50Km Race Walk,Rome,1960,B,Abdon PAMICH,ITA,4:27:55.4,seconds,16075.4
1094,M,50Km Race Walk,Tokyo,1964,G,Abdon PAMICH,ITA,4:11:12.4,seconds,15072.4
1095,M,50Km Race Walk,Tokyo,1964,S,Paul Vincent NIHILL,GBR,4:11:31.2,seconds,15091.2
1096,M,50Km Race Walk,Tokyo,1964,B,Ingvar PETTERSSON,SWE,4:14:17.4,seconds,15257.4
1097,M,50Km Race Walk,Mexico,1968,G,Christoph HÃHNE,GDR,4:20:13.6,seconds,15613.6
1102,M,50Km Race Walk,Mexico,1968,S,Antal KISS,HUN,4:30:17.0,seconds,16217.0
1107,M,50Km Race Walk,Mexico,1968,B,Larry YOUNG,USA,4:31:55.4,seconds,16315.4
1090,M,50Km Race Walk,Munich,1972,G,Bernd KANNENBERG,FRG,3:56:11.6,seconds,14171.6
1092,M,50Km Race Walk,Munich,1972,S,Veniamin SOLDATENKO,URS,3:58:24.0,seconds,14304.0
1093,M,50Km Race Walk,Munich,1972,B,Larry YOUNG,USA,4:00:46.0,seconds,14446.0
1083,M,50Km Race Walk,Moscow,1980,G,Hartwig GAUDER,GDR,3:49:24.0,seconds,13764.0
1085,M,50Km Race Walk,Moscow,1980,S,Jorge LLOPART,ESP,3:51:25.0,seconds,13885.0
1091,M,50Km Race Walk,Moscow,1980,B,Yevgeny Mikhaylovich IVCHENKO,URS,3:56:32.0,seconds,14192.0
1082,M,50Km Race Walk,Los Angeles,1984,G,RaÃºl GONZÃLEZ,MEX,3:47:26,seconds,13646.0
1087,M,50Km Race Walk,Los Angeles,1984,S,Bo GUSTAFSSON,SWE,3:53:19,seconds,13999.0
1089,M,50Km Race Walk,Los Angeles,1984,B,Sandro BELLUCCI,ITA,3:53:45,seconds,14025.0
1065,M,50Km Race Walk,Seoul,1988,G,Vyacheslav IVANENKO,URS,3:38:29,seconds,13109.0
1067,M,50Km Race Walk,Seoul,1988,S,Ronald WEIGEL,GDR,3:38:56,seconds,13136.0
1069,M,50Km Race Walk,Seoul,1988,B,Hartwig GAUDER,GDR,3:39:45,seconds,13185.0
1084,M,50Km Race Walk,Barcelona,1992,G,Andrey PERLOV,EUN,3:50:13,seconds,13813.0
1086,M,50Km Race Walk,Barcelona,1992,S,Carlos MERCENARIO,MEX,3:52:09,seconds,13929.0
1088,M,50Km Race Walk,Barcelona,1992,B,Ronald WEIGEL,GER,3:53:45,seconds,14025.0
1076,M,50Km Race Walk,Atlanta,1996,G,Robert KORZENIOWSKI,POL,3:43:30,seconds,13410.0
1079,M,50Km Race Walk,Atlanta,1996,S,Mikhail SHCHENNIKOV,RUS,3:43:46,seconds,13426.0
1080,M,50Km Race Walk,Atlanta,1996,B,Valentin MASSANA,ESP,3:44:19,seconds,13459.0
1074,M,50Km Race Walk,Sydney,2000,G,Robert KORZENIOWSKI,POL,3:42:22,seconds,13342.0
1078,M,50Km Race Walk,Sydney,2000,S,Aigars FADEJEVS,LAT,3:43:40,seconds,13420.0
1081,M,50Km Race Walk,Sydney,2000,B,Joel SANCHEZ GUERRERO,MEX,3:44:36,seconds,13476.0
1066,M,50Km Race Walk,Athens,2004,G,Robert KORZENIOWSKI,POL,3:38:46,seconds,13126.0
1075,M,50Km Race Walk,Athens,2004,S,Denis NIZHEGORODOV,RUS,3:42:50,seconds,13370.0
1077,M,50Km Race Walk,Athens,2004,B,Aleksey VOYEVODIN,RUS,3:43:34,seconds,13414.0
1062,M,50Km Race Walk,Beijing,2008,G,Alex SCHWAZER,ITA,3:37:09,seconds,13029.0
1068,M,50Km Race Walk,Beijing,2008,S,Jared TALLENT,AUS,3:39:27,seconds,13167.0
1070,M,50Km Race Walk,Beijing,2008,B,Denis NIZHEGORODOV,RUS,3:40:14,seconds,13214.0
1061,M,50Km Race Walk,London,2012,G,Jared TALLENT,AUS,3:36:53,seconds,13013.0
1063,M,50Km Race Walk,London,2012,S,Tianfeng SI,CHN,3:37:16,seconds,13036.0
1064,M,50Km Race Walk,London,2012,B,Robert HEFFERNAN,IRL,3:37:54,seconds,13074.0
1071,M,50Km Race Walk,Rio,2016,G,Matej TOTH,SVK,3:40:58,seconds,13258.0
1072,M,50Km Race Walk,Rio,2016,S,Jared TALLENT,AUS,3:41:16,seconds,13276.0
1073,M,50Km Race Walk,Rio,2016,B,Hirooki ARAI,JPN,3:41:24,seconds,13284.0
1058,M,800M,Athens,1896,G,Edwin FLACK,AUS,02:11.0,seconds,131.0
1059,M,800M,Athens,1896,S,NÃ¡ndor DÃNI,HUN,02:11.8,seconds,131.8
1060,M,800M,Athens,1896,B,Dimitrios GOLEMIS,GRE,02:28.0,seconds,148.0
1056,M,800M,Paris,1900,G,Alfred TYSOE,GBR,02:01.2,seconds,121.2
1057,M,800M,Paris,1900,S,John CREGAN,USA,02:01.6,seconds,121.6
1053,M,800M,St Louis,1904,G,James LIGHTBODY,USA,01:56.0,seconds,116.0
1054,M,800M,St Louis,1904,S,Howard VALENTINE,USA,01:56.3,seconds,116.3
1055,M,800M,St Louis,1904,B,Emil BREITKREUTZ,USA,01:56.4,seconds,116.4
1042,M,800M,London,1908,G,Melvin SHEPPARD,USA,01:52.8,seconds,112.8
1051,M,800M,London,1908,S,Emilio LUNGHI,ITA,01:54.2,seconds,114.2
1052,M,800M,London,1908,B,Hanns BRAUN,GER,01:55.2,seconds,115.2
1036,M,800M,Stockholm,1912,G,James Edwin MEREDITH,USA,01:51.9,seconds,111.9
1037,M,800M,Stockholm,1912,S,Melvin SHEPPARD,USA,01:52.0,seconds,112.0
1038,M,800M,Stockholm,1912,B,Ira DAVENPORT,USA,01:52.0,seconds,112.0
1047,M,800M,Antwerp,1920,G,Albert HILL,GBR,01:53.4,seconds,113.4
1049,M,800M,Antwerp,1920,S,Earl EBY,USA,01:53.6,seconds,113.6
1050,M,800M,Antwerp,1920,B,Bevil RUDD,RSA,01:54.0,seconds,114.0
1039,M,800M,Paris,1924,G,Douglas LOWE,GBR,01:52.4,seconds,112.4
1040,M,800M,Paris,1924,S,Paul MARTIN,SUI,01:52.6,seconds,112.6
1044,M,800M,Paris,1924,B,Schuyler ENCK,USA,01:53.0,seconds,113.0
981,W,800M,Amsterdam,1928,G,"Karoline ""Lina"" RADKE",GER,02:16.8,seconds,136.8
1035,M,800M,Amsterdam,1928,G,Douglas LOWE,GBR,01:51.8,seconds,111.8
1041,M,800M,Amsterdam,1928,S,Erik BYLÃHN,SWE,01:52.8,seconds,112.8
1045,M,800M,Amsterdam,1928,B,Hermann ENGELHARD,GER,01:53.2,seconds,113.2
1033,M,800M,Los Angeles,1932,G,Thomas HAMPSON,GBR,01:49.8,seconds,109.8
1034,M,800M,Los Angeles,1932,S,Alex WILSON,CAN,01:49.9,seconds,109.9
1043,M,800M,Berlin,1936,G,John WOODRUFF,USA,01:52.9,seconds,112.9
1046,M,800M,Berlin,1936,S,Mario LANZI,ITA,01:53.3,seconds,113.3
1048,M,800M,Berlin,1936,B,Philip EDWARDS,CAN,01:53.6,seconds,113.6
1028,M,800M,London,1948,G,Mal WHITFIELD,USA,01:49.2,seconds,109.2
1030,M,800M,London,1948,S,Arthur WINT,JAM,01:49.5,seconds,109.5
1032,M,800M,London,1948,B,Marcel HANSENNE,FRA,01:49.8,seconds,109.8
1027,M,800M,Helsinki,1952,G,Mal WHITFIELD,USA,01:49.2,seconds,109.2
1029,M,800M,Helsinki,1952,S,Arthur WINT,JAM,01:49.4,seconds,109.4
1031,M,800M,Helsinki,1952,B,Heinz ULZHEIMER,GER,01:49.7,seconds,109.7
1024,M,800M,Melbourne / Stockholm,1956,G,Thomas COURTNEY,USA,01:47.7,seconds,107.7
1025,M,800M,Melbourne / Stockholm,1956,S,Derek JOHNSON,GBR,01:47.8,seconds,107.8
1026,M,800M,Melbourne / Stockholm,1956,B,Audun BOYSEN,NOR,01:48.1,seconds,108.1
978,W,800M,Rome,1960,G,Lyudmila SHEVTSOVA,URS,02:04.3,seconds,124.3
979,W,800M,Rome,1960,S,Brenda JONES,AUS,02:04.4,seconds,124.4
980,W,800M,Rome,1960,B,Ursula DONATH,EUA,02:05.6,seconds,125.6
1021,M,800M,Rome,1960,G,Peter SNELL,NZL,01:46.3,seconds,106.3
1022,M,800M,Rome,1960,S,Roger MOENS,BEL,01:46.5,seconds,106.5
1023,M,800M,Rome,1960,B,George KERR,BWI,01:47.1,seconds,107.1
973,W,800M,Tokyo,1964,G,Ann PACKER,GBR,02:01.1,seconds,121.1
974,W,800M,Tokyo,1964,S,Maryvonne DUPUREUR,FRA,02:01.9,seconds,121.9
977,W,800M,Tokyo,1964,B,Ann Marise CHAMBERLAIN,NZL,02:02.8,seconds,122.8
1009,M,800M,Tokyo,1964,G,Peter SNELL,NZL,01:45.1,seconds,105.1
1014,M,800M,Tokyo,1964,S,William CROTHERS,CAN,01:45.6,seconds,105.6
1018,M,800M,Tokyo,1964,B,Wilson KIPRUGUT,KEN,01:45.9,seconds,105.9
972,W,800M,Mexico,1968,G,Madeline MANNING-JACKSON,USA,02:00.9,seconds,120.9
975,W,800M,Mexico,1968,S,Ileana SILAI,ROU,02:02.5,seconds,122.5
976,W,800M,Mexico,1968,B,Maria GOMMERS,NED,02:02.6,seconds,122.6
1000,M,800M,Mexico,1968,G,Ralph DOUBELL,AUS,01:44.3,seconds,104.3
1002,M,800M,Mexico,1968,S,Wilson KIPRUGUT,KEN,01:44.5,seconds,104.5
1012,M,800M,Mexico,1968,B,Thomas Francis FARRELL,USA,01:45.4,seconds,105.4
966,W,800M,Munich,1972,G,Hildegard FALCK,FRG,01:58.5,seconds,118.5
968,W,800M,Munich,1972,S,Niole SABAITE,URS,01:58.6,seconds,118.6
971,W,800M,Munich,1972,B,Gunhild HOFFMEISTER,GDR,01:59.2,seconds,119.2
1015,M,800M,Munich,1972,G,David James WOTTLE,USA,01:45.9,seconds,105.9
1016,M,800M,Munich,1972,S,Yevgeni ARZHANOV,URS,01:45.9,seconds,105.9
1020,M,800M,Munich,1972,B,Mike BOIT,KEN,01:46.0,seconds,106.0
942,W,800M,Montreal,1976,G,Tatiana KAZANKINA,URS,01:54.9,seconds,114.9
944,W,800M,Montreal,1976,S,Nikolina CHTEREVA,BUL,01:55.4,seconds,115.4
947,W,800M,Montreal,1976,B,Elfi ZINN,GDR,01:55.6,seconds,115.6
992,M,800M,Montreal,1976,G,Alberto JUANTORENA,CUB,01:43.5,seconds,103.5
997,M,800M,Montreal,1976,S,Ivo VAN DAMME,BEL,01:43.9,seconds,103.9
999,M,800M,Montreal,1976,B,Richard Charles WOHLHUTER,USA,01:44.1,seconds,104.1
939,W,800M,Moscow,1980,G,Nadezhda OLIZARENKO,URS,01:53.5,seconds,113.5
941,W,800M,Moscow,1980,S,Olga MINEEVA,URS,01:54.9,seconds,114.9
945,W,800M,Moscow,1980,B,Tatiana PROVIDOKHINA,URS,01:55.5,seconds,115.5
1013,M,800M,Moscow,1980,G,Steve OVETT,GBR,01:45.4,seconds,105.4
1017,M,800M,Moscow,1980,S,Sebastian COE,GBR,01:45.9,seconds,105.9
1019,M,800M,Moscow,1980,B,Nikolai KIROV,URS,01:46.0,seconds,106.0
963,W,800M,Los Angeles,1984,G,Doina MELINTE,ROU,01:57.6,seconds,117.6
967,W,800M,Los Angeles,1984,S,Kim GALLAGHER,USA,01:58.6,seconds,118.6
970,W,800M,Los Angeles,1984,B,Fita LOVIN,ROU,01:58.8,seconds,118.8
991,M,800M,Los Angeles,1984,G,Joaquim CRUZ,BRA,01:43.0,seconds,103.0
993,M,800M,Los Angeles,1984,S,Sebastian COE,GBR,01:43.6,seconds,103.6
